x,5621,160
63633.6,121.648
65550.6,120.921
67467.5,119.83
69304.7,118.375
71141.8,116.556
72899,114.556
74576.4,112.01
76173.9,109.464
77691.5,106.191
78969.5,102.735
80087.7,99.098
81046.2,95.098
81845,90.915
82404.1,86.551
83043.1,82.369
x,5354
54048.6,111.466
55965.6,110.92
57882.6,110.193
59799.6,109.101
61716.6,107.828
63553.7,106.374
65310.9,104.373
67148,102.373
68745.5,99.827
70343,97.281
71780.8,94.189
73058.8,90.916
74017.3,87.279
75135.5,83.642
76014.1,79.46
76733,75.277
x,5086
46700.2,100.919
48697,100.556
50614,100.01
52451.1,98.919
54368.1,97.828
56285.1,96.554
58122.2,94.736
59879.5,92.735
61636.7,90.553
63314.1,88.007
64831.7,85.279
66269.4,82.188
67627.3,78.733
68745.5,75.096
69704,71.095
