x,5621
62846.8,0.829198
63768.3,0.832652
64529.6,0.835008
65571.3,0.838463
67254,0.842546
69978.5,0.847571
71901.7,0.848827
73904.9,0.848827
75748,0.846315
77430.7,0.841918
78632.7,0.83595
79674.4,0.829041
80395.6,0.821817
80956.5,0.814279
81437.3,0.806741
81757.8,0.798889
82078.3,0.791351
82318.7,0.783499
82559.1,0.775647
82719.4,0.767795
82879.6,0.759944
83120,0.752092
x,5354
54112.5,0.823701
55474.7,0.829355
56997.2,0.834694
58279.3,0.838463
59962.1,0.842546
62606.4,0.847257
64529.6,0.849456
66452.7,0.84977
68375.9,0.848513
69978.5,0.845059
71420.9,0.840033
72703,0.833752
73904.9,0.821503
74626.1,0.814279
75106.9,0.806741
75507.6,0.798889
75828.1,0.791351
76148.6,0.783499
76389,0.775647
76549.3,0.767795
76949.9,0.760258
x,5086
46130.7,0.813405
46988.9,0.817659
47942.4,0.821817
49304.6,0.82747
50827.1,0.83281
51788.7,0.835636
53471.5,0.840033
55715.1,0.84443
57558.2,0.846943
59561.4,0.847885
62606.4,0.845059
64289.2,0.840661
65571.3,0.835322
66613,0.828727
67414.3,0.821503
68055.4,0.813965
68616.3,0.806427
69016.9,0.798889
69417.6,0.791037
69738.1,0.783499
70058.6,0.775647
